id,merchantId,externalId,email,name,phone,totalTransactions,successfulTransactions,failedTransactions,totalSuccessfulValue,averageTransactionValue,previousRecoveryAttempts,previousSuccessfulRecoveries,customerSegment
f0d0ef6a-15a6-409b-b8ee-09d8b9935302,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-0,arun.kumar0@gmail.com,Arun Kumar,+917211755002,23,19,4,4350.25,228.96,0,0,AT_RISK
3cb80f86-e4fe-4c8a-8ee5-6fd93eff19f0,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-1,vikram.sharma1@mail.com,Vikram Sharma,+911652580863,16,13,3,706.37,54.34,0,0,NEW
d1432298-2195-49ef-b3cd-94a45b588ea0,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-2,arjun.joshi2@outlook.com,Arjun Joshi,+911333204190,17,15,2,1841.71,122.78,1,0,NEW
8d0aa013-a922-4f46-9847-177fd250f928,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-3,karan.mishra3@outlook.com,Karan Mishra,+915702202126,24,21,3,5094.89,242.61,1,0,AT_RISK
d1cbd0ba-5911-4b10-9942-a3cce3837d4d,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-4,meera.reddy4@outlook.com,Meera Reddy,+913676065242,17,16,1,2990.77,186.92,0,0,NEW
828cfff2-c371-46c0-ae97-1e1608df5f0f,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-5,suresh.kulkarni5@yahoo.com,Suresh Kulkarni,+916872032298,18,15,3,3042.84,202.86,1,0,AT_RISK
89ac0778-b30a-4450-ab8a-ab2872260215,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-6,kavya.joshi6@protonmail.com,Kavya Joshi,+913942252583,24,18,6,1944.7,108.04,4,2,LOYAL
958a573f-76f4-4d66-a739-0e7357c70ebf,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-7,gaurav.gupta7@mail.com,Gaurav Gupta,+914781165354,11,7,4,1524.68,217.81,1,0,LOYAL
e0edd836-6196-45d4-9147-23024d2e21ca,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-8,ishita.kulkarni8@gmail.com,Ishita Kulkarni,+916187732107,24,14,10,2160.93,154.35,3,1,AT_RISK
8c7151a1-0fa9-4a4d-97ad-975060cfd564,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-9,jaya.shah9@mail.com,Jaya Shah,+917516851319,16,14,2,1748.77,124.91,1,0,AT_RISK
8fc0734f-875c-424c-a56c-7f4b235e91cc,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-10,suresh.desai10@gmail.com,Suresh Desai,+915413982250,24,17,7,1953.25,114.9,1,0,AT_RISK
19d4d92c-af00-420e-9142-9acdaf9a2482,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-11,jaya.bhat11@gmail.com,Jaya Bhat,+919516915699,26,24,2,3095.23,128.97,0,0,LOYAL
d544dad8-e898-4204-87d1-5a515c7567a7,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-12,kunal.joshi12@outlook.com,Kunal Joshi,+913638420055,20,16,4,864.98,54.06,1,0,LOYAL
6f4d5750-2b64-4447-81e1-e9da8f7dcfb7,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-13,aarav.singh13@gmail.com,Aarav Singh,+912980262195,20,16,4,2641.24,165.08,1,0,LOYAL
6d71ff09-c976-4684-93aa-db7febdef8c0,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-14,ravi.mehta14@protonmail.com,Ravi Mehta,+918104447690,22,20,2,3586.86,179.34,0,0,LOYAL
018a9236-34fa-4321-9f67-3a9e63944f5b,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-15,neha.nair15@gmail.com,Neha Nair,+912144229485,15,14,1,2147.99,153.43,0,0,LOYAL
c2d836c1-15a9-454b-afd8-b39aee380103,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-16,aditi.kulkarni16@gmail.com,Aditi Kulkarni,+919981424039,29,23,6,4385.54,190.68,4,2,LOYAL
ed3584b7-e237-4a78-a2c7-1f778e60a918,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-17,ishita.chopra17@outlook.com,Ishita Chopra,+914995712955,16,11,5,2080.0,189.09,1,0,AT_RISK
e931e013-9fdc-472c-8168-8e4617797695,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-18,jaya.nair18@gmail.com,Jaya Nair,+910495058008,26,19,7,3128.42,164.65,0,0,LOYAL
5f556bdf-a1bb-459a-81ce-faec345182f7,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-19,neha.kumar19@mail.com,Neha Kumar,+912564559272,23,20,3,3787.08,189.35,1,0,AT_RISK
0fc8c831-9c79-467c-b2ee-5b753a8d3f56,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-20,neha.gupta20@outlook.com,Neha Gupta,+914990650551,22,19,3,2776.75,146.14,2,1,LOYAL
2af22cce-9645-41e0-8953-ae32f62651c6,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-21,meera.singh21@yahoo.com,Meera Singh,+913187696082,20,15,5,1607.13,107.14,0,0,NEW
01370087-663d-46c4-b6d9-7a0a06d6a16f,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-22,deepa.kumar22@yahoo.com,Deepa Kumar,+912871223685,27,23,4,2476.19,107.66,2,0,NEW
cda6ab74-091a-4177-a11e-585c1d705a25,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-23,ishita.patel23@gmail.com,Ishita Patel,+916803191475,23,16,7,1485.62,92.85,4,2,LOYAL
8e87d7a3-9808-4a22-8d2c-f5c011285a68,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-24,ananya.singh24@yahoo.com,Ananya Singh,+915851138788,18,14,4,2460.53,175.75,2,1,LOYAL
27ecc334-021b-4199-a004-5f4d9997568c,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-25,diya.mehta25@gmail.com,Diya Mehta,+913589792171,18,17,1,2619.59,154.09,0,0,LOYAL
2360e9b5-1158-4e24-871a-fab9fa37cb3b,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-26,priya.sharma26@yahoo.com,Priya Sharma,+917398882718,7,4,3,456.94,114.23,1,0,NEW
bb025164-e86b-4462-b3ca-2864b51c2251,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-27,nisha.bhat27@yahoo.com,Nisha Bhat,+911938826320,20,19,1,3027.13,159.32,0,0,NEW
fa3538d4-8870-4d9c-80df-92e1cef44534,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-28,kunal.shah28@outlook.com,Kunal Shah,+916395919192,25,19,6,4527.18,238.27,3,1,AT_RISK
6e95d099-56d4-4e27-8616-2d36b250090b,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-29,ananya.mishra29@protonmail.com,Ananya Mishra,+913749181045,23,22,1,2767.34,125.79,0,0,NEW
c150f456-9568-42d8-8d42-f2f73baa5833,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-30,lakshmi.kulkarni30@yahoo.com,Lakshmi Kulkarni,+913063387334,10,7,3,70.0,10.0,0,0,LOYAL
73efe446-044b-4fca-bcd1-a4ea8716f760,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-31,neha.verma31@mail.com,Neha Verma,+911496963502,21,11,10,860.28,78.21,6,3,NEW
0c6ac6a6-2831-43b1-9b02-e231ae61cb81,f6483f49-7190-4ed1-b230-ebf5ab3da486,cust-32,priya.pillai32@mail.com,Priya Pillai,+916442497105,12,10,2,2293.01,229.3,0,0,AT_RISK
